Study	Assessor	Sela	Selb	Cona	Conb	Expa	Expb	Atta	Attb	Outa	Outb	Otha	Othb
Johnson	1	-0.4	0	-0.1	0.1	-0.4	0	-0.4	0	-0.1	0.1		
Johnson	2	-0.15	0.15	-0.05	0.15	-0.4	0	-0.1	0.1	-0.1	0.1		
Johnson	3	-0.05	0.1	-0.15	0	-0.2	0.2	-0.25	0	-0.1	0.15		
Johnson	4	-0.1	0.1	0	0.2	-0.3	0.3	-0.2	0.2	-0.05	0.05		
Johnson	5	-0.1	0.1	-0.05	0.05	-0.4	0.4	-0.15	0.15	-0.1	0.1		
Johnson	6	-0.05	0.05	-0.05	0.05	-0.35	-0.05	-0.1	0.05	-0.2	0.05		
Moore	1	-0.4	0	-0.1	0.1	0	0.4	-0.1	0.1	-0.2	0.2		
Moore	2	-0.1	0.1	-0.05	0.05	0	0.2	-0.05	0.05	-0.05	0.15		
Moore	3	-0.1	0.2			-0.2	0.3	-0.15	0.05	-0.35	-0.05		
Moore	4	-0.05	0.05	0	0.1	-0.3	0.3	0	0.1	-0.15	0.15		
Moore	5	-0.1	0.1	-0.2	0.1	-0.2	0	-0.1	0.1	-0.15	0.05		
Moore	6	-0.05	0.15	-0.05	0.05	0.2	0.4	0.05	0.15	0.05	0.15		
Figueroa-Colon	1	-0.05	0.15	-0.1	0.2			-0.1	0.3				
Figueroa-Colon	2	-0.2	0.15	-0.05	0.05			-0.2	0.2				
Figueroa-Colon	3	-0.2	0.2	-0.15	0.05			-0.15	0.05				
Figueroa-Colon	4	-0.1	0.1	-0.05	0.05			-0.05	0.05
Figueroa-Colon	5	-0.05	0.05	-0.15	0.15			-0.05	0.05
Figueroa-Colon	6	-0.05	0.05	-0.1	0.1			-0.05	0.05
DeLany	1			-0.35	0.05			-0.05	0.25
DeLany	2			-0.2	0			-0.1	0.1
DeLany	3			-0.15	0.15			-0.1	0.1
DeLany	4			-0.15	0.15			-0.1	0.1
DeLany	5			-0.2	0.1			-0.1	0.1
DeLany	6			-0.1	0.1			-0.1	0.1
Treuth	1	-0.15	0.15	-0.1	0.2			-0.1	0.3
Treuth	2	-0.15	0.05	-0.1	0.05			-0.15	0.05
Treuth	3	-0.15	0.15	-0.1	0.1			-0.1	0.1
Treuth	4	-0.1	0.1	-0.05	0.05			-0.1	0.1
Treuth	5	-0.05	0.05	-0.05	0.05			-0.1	0.1
Treuth	6	-0.05	0.05	-0.1	0.1			-0.05	0.05
Salbe	1	-0.15	0.15	-0.05	0.25			-0.1	0.1
Salbe	2	-0.15	0.15	-0.2	0.15			-0.05	0.05
Salbe	3	-0.1	0.1	-0.05	0.05			-0.05	0.05
Salbe	4	-0.1	0.1	-0.05	0.05			-0.1	0.1
Salbe	5	-0.1	0.1	-0.1	0.1			0	0
Salbe	6	-0.05	0.05	-0.1	0.1			-0.1	0.1
